ccNumber,firstName,lastName,email,city,state,postalCode,balance
5236269402588863,Valli,Ruckman,vruckman22@godaddy.com,Kansas City,MO,64142,9874.84
5007665629729627,Lonni,Romeril,lromeril23@weibo.com,Providence,RI,02912,8287.35
5289446084133582,Jan,Rainon,jrainon24@mail.ru,Peoria,IL,61614,6840.31
5100178514179425,Maurizio,Skydall,mskydall25@comsenz.com,Tulsa,OK,74141,225.47
5010127791622291,Ina,Collymore,icollymore26@tmall.com,Pensacola,FL,32511,1899.09
5390909291516051,Parry,Reubens,preubens27@icq.com,Atlanta,GA,30368,5723.93
5002355377229260,Florrie,De Matteis,fdematteis28@cnet.com,Brooklyn,NY,11205,3836.29
5108756643367391,Marleah,Soares,msoares29@oaic.gov.au,Edmond,OK,73034,3116.35
5263742387941667,Clarie,Janauschek,cjanauschek2a@t.co,Salt Lake City,UT,84145,5177.47
5048374928685082,Chrissy,Jancy,cjancy2b@va.gov,Baltimore,MD,21290,1361.44
5104472225182372,Berky,Fawloe,bfawloe2c@hugedomains.com,Los Angeles,CA,90020,9187.99
5048371376416853,Vallie,Iwanicki,viwanicki2d@cdc.gov,Orlando,FL,32808,6357.1
5007667552930818,Heda,Davana,hdavana2e@gnu.org,Minneapolis,MN,55487,6030.03
5186115134859785,Leela,Abrahams,labrahams2f@amazon.co.jp,Dallas,TX,75216,535.34
5100179945632065,Christal,Pedro,cpedro2g@google.com.br,New York City,NY,10079,6215.51
5100132533015102,Tuesday,Giorgielli,tgiorgielli2h@europa.eu,Amarillo,TX,79165,997.27
5048376669321702,Moishe,Antonowicz,mantonowicz2i@usda.gov,New York City,NY,10090,4608.04
5100140281510042,Twyla,Tunn,ttunn2j@hp.com,Chicago,IL,60646,1747.69
5108759148192132,Carilyn,Tedder,ctedder2k@oaic.gov.au,Kansas City,MO,64130,2465.18
5002354196092348,Engracia,Petticrow,epetticrow2l@spiegel.de,Fort Worth,TX,76129,3606.65
5316225477336813,Lotte,Killelea,lkillelea2m@cpanel.net,Reno,NV,89505,7343.6
5010123027991816,Merrie,Rocks,mrocks2n@altervista.org,Phoenix,AZ,85010,973.37
5263103657256957,Jordana,Cosker,jcosker2o@phpbb.com,New York City,NY,10029,1689.8
5108756685251982,Carry,McAsgill,cmcasgill2p@xing.com,Columbus,MS,39705,9957.48
5048376479652205,Madelena,Cavnor,mcavnor2q@cisco.com,Philadelphia,PA,19146,3605.05
5332505397893245,Stafani,Jays,sjays2r@amazonaws.com,Saint Louis,MO,63131,6520.21
5108757424404742,Nico,Kroin,nkroin2s@flavors.me,Macon,GA,31205,4709.98
5237711273376679,Dehlia,Gifkins,dgifkins2t@latimes.com,Detroit,MI,48258,7937.41
5100176338990357,Caprice,Emson,cemson2u@earthlink.net,Boulder,CO,80328,5199.83
5353164495359966,Sarine,Vina,svina2v@wsj.com,Birmingham,AL,35205,1723.92
5007668753059688,Olag,Dmitrienko,odmitrienko2w@naver.com,Scranton,PA,18505,4422.75
5151288186125800,Averil,Cisar,acisar2x@princeton.edu,Springfield,MO,65898,2383.79
5048379216356999,Saunder,McCoole,smccoole2y@wikipedia.org,Hamilton,OH,45020,2682.04
5007669383810292,Artur,McKune,amckune2z@geocities.jp,Saint Joseph,MO,64504,6796.52
5002356848309269,Chaunce,Cooksey,ccooksey30@so-net.ne.jp,Boise,ID,83716,4302.1
5100149497632011,Wolf,Roches,wroches31@1und1.de,Lynchburg,VA,24503,1268.18
5007661809840334,Gretna,Chadbourne,gchadbourne32@symantec.com,Minneapolis,MN,55407,5098.69
5100134042000005,Hans,Manley,hmanley33@shareasale.com,San Diego,CA,92127,3228.21
5007666029497435,Cthrine,Urlin,curlin34@yale.edu,Buffalo,NY,14276,8419.91
5048376356226149,Janna,MacNair,jmacnair35@ebay.co.uk,Cambridge,MA,02142,1296.29
5107660143415984,Lewiss,Ballin,lballin36@mac.com,Cincinnati,OH,45223,1663.47
5108758796617234,Cherilynn,McGee,cmcgee37@va.gov,Tacoma,WA,98424,7791.18
5100179639620335,Emmalee,Horder,ehorder38@meetup.com,Columbia,SC,29215,7587.88
5138519213379079,Dee dee,Coppenhall,dcoppenhall39@alexa.com,Portland,OR,97255,7836.54
5518257880048087,Ki,Aughton,kaughton3a@pcworld.com,Springfield,MA,01114,1996.38
5010123982049691,Hailee,Bills,hbills3b@opensource.org,Appleton,WI,54915,2418.98
5048370859417016,Kittie,Andreuzzi,kandreuzzi3c@is.gd,San Rafael,CA,94913,5833.75
5048374295794400,Madelena,Casbon,mcasbon3d@jugem.jp,Charlotte,NC,28284,802.8
5579704346932459,Yvon,Twine,ytwine3e@theguardian.com,Albany,NY,12237,1216.56
5108750516917291,Rois,Trow,rtrow3f@geocities.jp,Miami,FL,33153,4989.07
5413632823866793,Celestyna,Lafferty,clafferty3g@ibm.com,Danbury,CT,06816,7596.71
5502631168624579,Sandra,Weatherhogg,sweatherhogg3h@ebay.com,Kansas City,MO,64144,7198.21
5336045751266015,Mildred,Kibel,mkibel3i@wix.com,San Mateo,CA,94405,1787.41
5494205300274351,Scarlet,Balasini,sbalasini3j@blogger.com,Alexandria,VA,22313,2554.98
5531414834650434,Bent,Futty,bfutty3k@amazon.co.uk,Chattanooga,TN,37450,3072.26
5432500946979867,Nikki,Croix,ncroix3l@msn.com,Washington,DC,20566,8246.36
5108759472790105,Gwenette,Polkinghorne,gpolkinghorne3m@jigsy.com,Memphis,TN,38114,6993.3
5100138052532799,Randal,Decourt,rdecourt3n@nydailynews.com,Hagerstown,MD,21747,5790.45
5486240326064320,Minny,Billows,mbillows3o@wufoo.com,Baltimore,MD,21229,3346.56
5100179325428001,Rick,Alesi,ralesi3p@earthlink.net,Washington,DC,20319,3623.07
5108754234814855,Moira,Quittonden,mquittonden3q@miibeian.gov.cn,Mobile,AL,36610,9206.06
5213967689093344,Morey,Sneyd,msneyd3r@bigcartel.com,Minneapolis,MN,55423,5315.56
5236524242336901,Merci,Vella,mvella3s@google.ru,Topeka,KS,66629,5564.75
5382554832503588,Judi,Kondratenya,jkondratenya3t@furl.net,Las Vegas,NV,89125,7697.46
5010121379094213,Danita,Shevlane,dshevlane3u@rakuten.co.jp,Boston,MA,02104,747.24
5527965919719556,Mable,Jeanon,mjeanon3v@hexun.com,Huntington,WV,25705,877.65
5444636379687365,Blanche,Krolik,bkrolik3w@bing.com,North Hollywood,CA,91616,3655.99
5432123585355610,Chanda,Jeffes,cjeffes3x@amazonaws.com,Herndon,VA,22070,9254.33
5048371542442908,Ethelbert,Casaroli,ecasaroli3y@examiner.com,San Francisco,CA,94137,7403.8
5007662936017671,Bret,Dooman,bdooman3z@webmd.com,Las Vegas,NV,89125,2300.57
5194459845705931,Patrizio,Labbe,plabbe40@creativecommons.org,Springfield,IL,62718,5446.2
5527295699347588,Mireille,Levison,mlevison41@kickstarter.com,Philadelphia,PA,19191,840.53
5497604671277265,Lorry,Youell,lyouell42@ibm.com,Charleston,WV,25362,6308.74
5108758374320821,Hilliard,Tirte,htirte43@networkadvertising.org,Memphis,TN,38168,5986.06
5315667931848092,Josie,Ventham,jventham44@ucoz.ru,Oakland,CA,94616,345.01
5100137652592112,Emiline,Klamp,eklamp45@microsoft.com,Charlotte,NC,28272,6761.13
5175872869486449,Kelcey,Rollitt,krollitt46@ft.com,Inglewood,CA,90398,5861.6
5491227025104542,Hestia,Forgan,hforgan47@etsy.com,Sunnyvale,CA,94089,4042.82
5510318368713705,Tandy,Carhart,tcarhart48@google.com.hk,Gastonia,NC,28055,6730.68
5231221872691250,Nilson,Bellringer,nbellringer49@spiegel.de,Erie,PA,16565,2558.11
5371307532796785,Tracie,Finby,tfinby4a@hugedomains.com,Colorado Springs,CO,80935,2847.28
5427574619579822,Sandra,Almak,salmak4b@japanpost.jp,Valdosta,GA,31605,3723.48
5108754050272204,Druci,Sedge,dsedge4c@craigslist.org,Toledo,OH,43605,1626.51
5100178240426686,Denver,Okie,dokie4d@google.nl,Baltimore,MD,21229,6855.88
5519775487379315,Gertrud,Ponte,gponte4e@github.com,West Palm Beach,FL,33416,6090.34
5188900999072337,Dame,Hullin,dhullin4f@tuttocitta.it,Las Vegas,NV,89115,5622.76
5108834955219185,Carmon,Farlowe,cfarlowe4g@sun.com,Lawrenceville,GA,30045,2728.28
5010126131713984,Aubrey,Bartlett,abartlett4h@opensource.org,Topeka,KS,66629,3353.62
5048374382760330,Charo,Firebrace,cfirebrace4i@tinypic.com,New York City,NY,10029,6564.02
5002354355446913,Bennie,Burges,bburges4j@ustream.tv,Indianapolis,IN,46239,5827.3
5358740893084978,Stormy,Fitzharris,sfitzharris4k@si.edu,Trenton,NJ,08695,1562.03
5100141878238872,Woody,Firbank,wfirbank4l@discovery.com,Whittier,CA,90610,2719.79
5002350708192766,Barnett,Mardall,bmardall4m@mac.com,Fort Wayne,IN,46867,4093.61
5100174684794879,Sharyl,Toseland,stoseland4n@trellian.com,Bronx,NY,10464,8823.81
5154893102828044,Brandyn,Orvis,borvis4o@surveymonkey.com,Des Moines,IA,50936,4427.98
5100173343757939,Boniface,Nemchinov,bnemchinov4p@histats.com,Portland,OR,97271,6087.47
5385458654655814,Reina,Habden,rhabden4q@about.me,Albany,NY,12262,5758.07
5002352722247618,Raimondo,Birkwood,rbirkwood4r@marketwatch.com,Indianapolis,IN,46216,9132.1
5382430269191421,Haze,Yude,hyude4s@disqus.com,Cincinnati,OH,45223,412.19
5048376190703303,Gilly,Channon,gchannon4t@parallels.com,Clearwater,FL,33763,3121.11
5002350176382758,Hobard,Tourmell,htourmell4u@ucla.edu,Miami,FL,33111,4195.21
5205437786986212,Kally,Yarn,kyarn4v@php.net,Lexington,KY,40596,8944.94
5002356258923492,Yorgo,Budgett,ybudgett4w@wsj.com,New York City,NY,10150,7372.94
5427929668861101,Sauncho,Kestle,skestle4x@topsy.com,Norwalk,CT,06854,6925.53
5156740173266885,Avram,Humphrey,ahumphrey4y@npr.org,Stamford,CT,06912,1976.96
5108752241743539,Franny,Colliard,fcolliard4z@nps.gov,Aurora,CO,80045,1441.75
5002357456872754,Sisile,Purveys,spurveys50@dagondesign.com,Wichita,KS,67210,875.41
5402711876898144,Zack,Steffan,zsteffan51@uiuc.edu,Honolulu,HI,96820,3892.15
5490383327905473,Jacquelynn,Moores,jmoores52@google.com.hk,Kansas City,KS,66105,228.46
5100132909489774,Jonathan,Nathon,jnathon53@acquirethisname.com,Macon,GA,31205,7239.98
5010123648349220,Sargent,Vercruysse,svercruysse54@taobao.com,Birmingham,AL,35225,1160.01
5010129440896102,Clarette,Gadman,cgadman55@census.gov,Los Angeles,CA,90071,5989.92
5108759105810429,Irwinn,Ribchester,iribchester56@marriott.com,Louisville,KY,40233,340.54
5048378859798921,Fanni,Wellbeloved,fwellbeloved57@ehow.com,Ogden,UT,84403,914.52
5233531079264422,Stanleigh,Lytle,slytle58@china.com.cn,Bellevue,WA,98008,8524.33
5100174893262783,Vina,Cleynaert,vcleynaert59@goo.gl,Knoxville,TN,37919,7338.0
5002357316099499,Worthy,Bartos,wbartos5a@opensource.org,Denver,CO,80204,5609.24
5100179686103532,Lucita,Kennagh,lkennagh5b@google.com,Saint Louis,MO,63136,4031.47
5002357553215642,Dennet,Ordidge,dordidge5c@jugem.jp,Chicago,IL,60657,6305.0
5002357066626905,Jobyna,Milkins,jmilkins5d@privacy.gov.au,Fort Lauderdale,FL,33320,1409.47
5100144559056159,Marget,Giovannilli,mgiovannilli5e@pcworld.com,Escondido,CA,92030,5367.33
5007669828685499,Glenna,Menlove,gmenlove5f@virginia.edu,Atlanta,GA,30351,2504.31
5048370989061791,Gale,Jouhandeau,gjouhandeau5g@ucla.edu,Norfolk,VA,23551,4302.22
5100139474992256,Maudie,Tosney,mtosney5h@tinypic.com,Alexandria,LA,71307,8821.13
5048379871516309,Joane,Walcar,jwalcar5i@chronoengine.com,Boston,MA,02283,6552.86
5010124395031516,Rikki,Reuter,rreuter5j@slate.com,Washington,DC,20215,1444.35
5100142036666814,Riva,Crumley,rcrumley5k@jiathis.com,Atlanta,GA,30351,824.13
5100130013828606,Pietro,Spriddle,pspriddle5l@spiegel.de,Amarillo,TX,79165,9790.99
5426217665901000,Nikkie,Fleckness,nfleckness5m@parallels.com,Clearwater,FL,33763,5257.17
5108759765490850,Palmer,Horsted,phorsted5n@youku.com,Houston,TX,77060,3770.92
5100130120101541,Delaney,Najera,dnajera5o@mayoclinic.com,Alexandria,LA,71307,3772.82
5100140003311505,Ivett,Ewols,iewols5p@google.co.uk,Norwalk,CT,06854,1800.63
5010124057504875,Olly,Theobold,otheobold5q@scientificamerican.com,Alexandria,VA,22333,8163.99
5100140576908703,Jefferson,Erswell,jerswell5r@dedecms.com,Houston,TX,77293,9007.99
5100173169986927,Georgi,Packe,gpacke5s@mediafire.com,Baltimore,MD,21211,8215.78
5007669757607878,Ramon,Berkery,rberkery5t@illinois.edu,Young America,MN,55573,1563.21
5108754909948897,Ted,McGeouch,tmcgeouch5u@nbcnews.com,Tacoma,WA,98411,1698.77
5108758155048583,Garik,Trubshawe,gtrubshawe5v@cdbaby.com,Jamaica,NY,11480,3834.1
5474742415931388,Konstantin,Gladstone,kgladstone5w@stanford.edu,Saint Louis,MO,63104,2068.19
5010128656825664,Constantina,Bolderoe,cbolderoe5x@ow.ly,Fairbanks,AK,99709,5013.29
5386532384576026,Claribel,Rubenfeld,crubenfeld5y@bloglines.com,Tucson,AZ,85715,1132.61
5010122511203191,Teddie,Rymour,trymour5z@foxnews.com,Berkeley,CA,94712,1615.83
5143932211476768,Gypsy,Murrhaupt,gmurrhaupt60@alibaba.com,Boca Raton,FL,33432,8215.35
5194484256298358,Amandy,Hansley,ahansley61@sourceforge.net,Buffalo,NY,14269,2283.38
5108964452110932,Desiree,Meeny,dmeeny62@surveymonkey.com,Mesquite,TX,75185,2318.21
5417272426229663,Cassandry,Guyonneau,cguyonneau63@hatena.ne.jp,Staten Island,NY,10310,9409.13
5007667772472369,Tan,Faraday,tfaraday64@plala.or.jp,Hayward,CA,94544,2289.08
5100141819580283,Rosita,Ridges,rridges65@cyberchimps.com,Las Vegas,NV,89145,4638.88
5002351766202224,Eugenio,Rhodef,erhodef66@exblog.jp,Des Moines,IA,50320,5871.29
5100133134448973,Jessika,Quenby,jquenby67@ft.com,Evansville,IN,47732,8961.54
5002356929748559,Hector,Boxhill,hboxhill68@blinklist.com,Springfield,MA,01152,4659.97
5134383389116722,Felike,Giraudo,fgiraudo69@dailymail.co.uk,Portland,OR,97221,5228.32
5108754426142461,Rodrick,Shropsheir,rshropsheir6a@weebly.com,Punta Gorda,FL,33982,1504.39
5423276652599873,Cesar,Cockerill,ccockerill6b@comsenz.com,Phoenix,AZ,85099,703.54
5495099698750398,Sissie,Sparke,ssparke6c@stumbleupon.com,Charleston,WV,25331,3888.41
5100136097599260,Perla,Citrine,pcitrine6d@vkontakte.ru,Peoria,IL,61614,485.29
5542854516965591,Austine,O' Timony,aotimony6e@bbb.org,Colorado Springs,CO,80925,9406.3
5048371904426465,Rollins,Kelsow,rkelsow6f@discuz.net,Charlotte,NC,28230,6559.12
5048377570025796,Ephrem,Van der Brugge,evanderbrugge6g@spiegel.de,New York City,NY,10079,1122.2
5100176722079544,Brier,McDonagh,bmcdonagh6h@theguardian.com,Washington,DC,20409,8373.89
5100138114277078,Horten,Chisolm,hchisolm6i@dailymail.co.uk,Las Vegas,NV,89105,783.66
5100171208116407,Jerri,Whitham,jwhitham6j@discovery.com,Fresno,CA,93740,431.06
5223375199348661,Lelia,Rudinger,lrudinger6k@cafepress.com,Watertown,MA,02472,985.26
5010126137003711,Ginelle,Synnott,gsynnott6l@infoseek.co.jp,Oklahoma City,OK,73157,6003.76
5245839568438019,Osgood,Trehearn,otrehearn6m@jigsy.com,Los Angeles,CA,90010,976.87
5582229426659892,Anatole,Rosier,arosier6n@prnewswire.com,Naples,FL,33961,5625.78
5100143690167446,Stephana,Strongitharm,sstrongitharm6o@t.co,Port Charlotte,FL,33954,5888.61
5520956488962633,Kassie,Chesshire,kchesshire6p@mashable.com,Rockford,IL,61105,9854.69
5428225499777486,Renate,Rummin,rrummin6q@utexas.edu,Oakland,CA,94616,9922.01
5002356749712512,Beauregard,Dade,bdade6r@usa.gov,Chicago,IL,60636,3916.63
5100176341621833,Hortensia,Gillingham,hgillingham6s@geocities.com,Topeka,KS,66622,6613.73
5010120654099103,Pip,Corradi,pcorradi6t@redcross.org,Las Vegas,NV,89125,4086.95
5100175789493259,Tann,Stobart,tstobart6u@pagesperso-orange.fr,Duluth,MN,55811,4154.38
5048370956275226,Charlot,Basley,cbasley6v@paginegialle.it,Colorado Springs,CO,80940,6226.67
5406641500445820,Rosemary,Whimp,rwhimp6w@ebay.com,Springfield,MO,65810,1449.67
5178959719668420,Ryley,Brandenberg,rbrandenberg6x@twitter.com,Riverside,CA,92505,8150.95
5002357662313916,Husain,Passman,hpassman6y@blogs.com,Paterson,NJ,07522,9247.56
5100179676615248,Sissy,Rossiter,srossiter6z@businessinsider.com,Philadelphia,PA,19141,5.85
5125247749295289,Deanne,O'dell,dodell70@seesaa.net,Minneapolis,MN,55407,7718.34
5100140955129665,Luisa,Biddles,lbiddles71@boston.com,Scottsdale,AZ,85255,1261.83
5100148263678182,Siobhan,Claffey,sclaffey72@hexun.com,Augusta,GA,30905,6162.36
5404614012572201,Patten,Eagleston,peagleston73@biblegateway.com,Tyler,TX,75799,5184.75
5100149449401283,Rozalin,Hymus,rhymus74@dropbox.com,Wichita,KS,67260,6860.26
5108758995781443,Calvin,Kislingbury,ckislingbury75@sogou.com,Boise,ID,83727,6237.24
5002357507225150,Ferdie,Gorce,fgorce76@cyberchimps.com,Sandy,UT,84093,42.91
5165727829756962,Prudence,Ditzel,pditzel77@slate.com,El Paso,TX,79999,5404.42
5007667730329024,Jerrome,Hein,jhein78@google.nl,Charleston,WV,25336,4644.83
5100171858827808,Stephine,Robathon,srobathon79@jiathis.com,Madison,WI,53785,4692.49
5002351628606984,Orel,Labba,olabba7a@toplist.cz,Charlotte,NC,28278,6575.93
5048379867335227,Noah,Blackley,nblackley7b@springer.com,Montgomery,AL,36109,8255.64
5002357570580366,Jerrilyn,Barhems,jbarhems7c@trellian.com,El Paso,TX,79940,183.72
5100170041012666,Addia,Govey,agovey7d@stumbleupon.com,Washington,DC,20380,4201.86
5100170482753703,Lyn,Broomhall,lbroomhall7e@ow.ly,Amarillo,TX,79171,4248.09
5130524602127558,Ber,Fetherston,bfetherston7f@shinystat.com,Littleton,CO,80127,9074.87
5048375015258014,Larissa,Polfer,lpolfer7g@usatoday.com,Sacramento,CA,95894,3992.44
5048373872161512,Juli,Capstack,jcapstack7h@baidu.com,Nashville,TN,37210,2672.17
5002356532043703,Joete,Dowsett,jdowsett7i@google.co.jp,New Orleans,LA,70154,9191.38
5415765433735491,Dolley,Bullar,dbullar7j@economist.com,Knoxville,TN,37939,3026.94
5367186470835284,Lola,Syplus,lsyplus7k@guardian.co.uk,Houston,TX,77080,6321.1
5323265784869420,Prue,Baswall,pbaswall7l@com.com,Syracuse,NY,13217,2387.19
5100143644273365,Riobard,Kittles,rkittles7m@xrea.com,Detroit,MI,48211,4339.38
5227961493909211,Karoly,Wiffler,kwiffler7n@merriam-webster.com,Amarillo,TX,79105,6615.53
5457620320604137,Yuma,Cosgrove,ycosgrove7o@wunderground.com,Pueblo,CO,81015,7753.35
5002350946264336,Linette,McGuckin,lmcguckin7p@vkontakte.ru,San Antonio,TX,78225,5277.72
5100140183320763,Callean,Wainscot,cwainscot7q@joomla.org,Mobile,AL,36610,7392.05
5100177105729366,Farrand,St. Hill,fsthill7r@sciencedaily.com,Sacramento,CA,95865,3718.75
5010126486440050,Jennette,Albertson,jalbertson7s@ucla.edu,Henderson,NV,89074,9567.6
5286082229174851,Reeba,Spellsworth,rspellsworth7t@wikimedia.org,Saint Louis,MO,63150,284.33
5226494672270016,Rip,Snalom,rsnalom7u@eepurl.com,Springfield,MO,65898,876.22
5107531032260734,Cirillo,Warratt,cwarratt7v@webs.com,Springfield,IL,62764,4349.07
5100136580461374,Andrus,Jimes,ajimes7w@cnbc.com,Des Moines,IA,50320,5647.83
5134434095217922,Mead,Cattermoul,mcattermoul7x@google.co.jp,Roanoke,VA,24009,777.0
5048375888046256,Guillema,Sines,gsines7y@furl.net,Cleveland,OH,44111,4732.42
5007665164743330,Jolie,Avrashin,javrashin7z@gizmodo.com,North Little Rock,AR,72199,6408.99
5541941785562687,Meryl,Routh,mrouth80@creativecommons.org,San Antonio,TX,78240,1182.84
5010126341134898,Terrill,Rime,trime81@house.gov,Philadelphia,PA,19125,8276.6
5100132010718616,Lutero,Tosdevin,ltosdevin82@goo.ne.jp,Boise,ID,83716,157.16
